,post_code,x,y
0,PE29 6NT,-0.202605135958688,52.3334172042591
1,CB2 0QQ,0.139114437022424,52.1737406887487
2,CB2 1EH,0.124484078273107,52.1984149257777
3,CB3 0DB,0.110018313569436,52.2142775742438
4,CB1 2PY,0.141543654704544,52.2054046006503
5,PE28 4EQ,-0.25682886240142,52.3716775008386
6,CB3 9HS,0.110557376608826,52.1993997684765
7,PE1 2RA,-0.2438413,52.5759554
8,PE1 2UF,-0.238109027201504,52.5814889756546
9,PE13 1JU,0.156382840094335,52.6651810520543
10,CB22 5FY,0.134232364113337,52.1471752996997
11,PE29 3RL,-0.179788535331642,52.33225752814
12,PE13 3AN,0.162208114892688,52.6691031807457
13,CB1 8BA,0.157110007192041,52.1859374128982
14,CB2 1RG,0.117935788787004,52.2024618758783
15,CB7 5JD,0.341952049999999,52.33519685
16,PE13 4LF,0.0504589046489863,52.6609474079087
17,CB4 2JG,0.128128599999999,52.22581825
18,CB1 3DG,0.150585,52.1971563
19,SG8 6BX,0.02020175,52.0806236
20,PE1 2QP,-0.240576050006268,52.5840161388148
21,PE2 5GP,-0.282135287055597,52.5475659371831
22,CB6 1JU,0.300482725847847,52.4583249754021
23,PE6 0SD,-0.103578522132143,52.6220013869615
24,PE4 7DH,-0.24126560458482,52.6064673779109
25,PE1 2QP,-0.240576050006268,52.5840161388148
26,CB1 9HR,0.177691767294695,52.1875976262264
27,PE1 2EJ,-0.244229287151931,52.5778276062994
28,PE28 5SU,-0.284779685338335,52.440323970694
29,CB24 9NP,0.109231727084697,52.2465985785313
30,PE2 8AY,-0.23426752204455,52.5585202667917
31,PE27 5JD,-0.0702216757459269,52.3242235859664
32,PE7 3JL,-0.251100656905829,52.5168658883491
33,PE19 8BB,-0.286856733635841,52.2225709481613
34,CB24 5NZ,0.0125299554013013,52.3149986443553
35,CB7 4HF,0.257853668333438,52.3982301298539
36,CB23 7DY,0.0184830472513355,52.1902345101602
37,CB6 2RB,0.124160961041203,52.3889793774193
38,CB2 3LS,0.11885366,52.20774178
39,PE28 0JF,-0.389167321307851,52.3025659264686
40,PE7 1EJ,-0.12981345419365,52.5544278517872
41,PE28 3EG,-0.00258353857007677,52.3809342537116
42,CB23 2SH,-0.063075518101107,52.1929808550472
43,CB25 9LQ,0.194607727012248,52.2709176041557
44,CB22 3HU,0.169161677788306,52.115186172923
45,CB4 1GL,0.152808013426987,52.2252757160478
46,PE19 5SZ,-0.254174010281899,52.2917642100995
47,PE7 1AT,-0.127706000416763,52.5581338999474
48,CB21 4JS,0.279345476435446,52.0982893472374
49,PE27 3TP,-0.0776490885742653,52.3353081111933
50,PE29 3EZ,-0.188326917857286,52.3343439315353
51,CB25 0AE,0.330922246806976,52.2739749780678
52,PE15 9BF,0.0913220383095759,52.5488575355949
53,PE3 8DT,-0.281891316387988,52.5904308832204
54,CB4 1ER,0.129320291571429,52.2149545434319
55,CB25 9DU,0.259823137059375,52.2246030440282
56,CB1 2AB,0.133986554545455,52.2014312
57,PE19 1BQ,-0.265275765067872,52.2293931591386
58,CB22 7NP,0.0733702133845212,52.1381467122651
59,PE26 1BP,-0.108161679316277,52.4484760516867
60,PE28 2RQ,-0.0844146282221564,52.4008830364365
61,PE16 6EX,0.0520930237471297,52.4575723546126
62,CB6 3TA,0.147124642199808,52.3581677316099
63,PE1 1NW,-0.242865686923162,52.5736386643519
64,PE15 9BY,0.092097340504567,52.5484122460032
65,PE1 4SG,-0.213569326984563,52.5936816281306
66,CB1 8PJ,0.150979013058621,52.1797540656198
67,CB2 1LR,0.128334255976802,52.1953012944391
68,PE15 0TG,0.057718046676198,52.4976740951652
69,PE3 7JW,-0.26905674543375,52.5914290817678
70,PE27 5PT,-0.0729776325171882,52.3277326156168
71,CB23 8EH,0.0183467497038162,52.252699959941
72,PE19 5DA,-0.34252162626953,52.2677539712039
73,PE19 1DZ,-0.262305263932934,52.2322609489684
74,CB24 5LB,0.0613098479010994,52.313123610233
75,CB23 3QQ,-0.117283989774745,52.252097148382
76,CB5 8SP,0.167228483463312,52.2139483649007
77,PE26 1SA,-0.110266550000001,52.4543341
78,CB24 8SE,0.124600714767864,52.2892732286258
79,PE15 8BG,0.0824951351834661,52.5515217737248
80,PE1 2QP,-0.240576050006268,52.5840161388148
81,PE27 3ER,-0.0755596163426689,52.3435226416594
82,CB24 4RA,-0.00370338075913667,52.2885951202704
83,PE15 0GN,0.179359969925362,52.482376857229
84,CB24 6BL,0.162459168589657,52.2420211018057
85,PE3 6AP,-0.260163600137191,52.5734760817822
86,PE4 5EG,-0.279351235419587,52.6285060931588
87,PE5 7AF,-0.352373881143473,52.5774309985836
88,PE28 3EU,-0.00114010000000035,52.3843933
89,PE1 4YL,-0.207292685936277,52.5940902702694
90,PE13 3UZ,0.163906530644065,52.6657002538052
91,PE27 5PB,-0.0727550448029481,52.3244478607937
92,PE1 4QF,-0.2256326,52.5995695
93,PE1 3HP,-0.254580258011612,52.5952551958734
94,PE2 5RQ,-0.302807607667353,52.5454330337283
95,PE7 8DR,-0.2633325,52.5389201
96,PE1 3BF,-0.245977421241452,52.5870003295013
97,PE3 6DB,-0.2585764,52.5739444
98,PE29 7HN,-0.176030087391823,52.3454688276038
99,CB23 6HL,-0.0661519122281555,52.2187648573097
100,PE29 3TN,-0.181841652102276,52.3278699365106
101,CB23 6HL,-0.0661519122281555,52.2187648573097
102,CB21 5EE,0.200851989950077,52.1858632400625
103,PE29 3TN,-0.181841652102276,52.3278699365106
104,PE29 3TN,-0.181841652102276,52.3278699365106
105,CB21 5EE,0.200851989950077,52.1858632400625
106,PE3 6HA,-0.262084573257155,52.5784325242048
107,PE29 6NT,-0.202605135958688,52.3334172042591
108,PE29 6NT,-0.202605135958688,52.3334172042591
109,PE29 6NT,-0.202605135958688,52.3334172042591
110,PE1 1FA,,
111,SG8 8HY,0.0380657766972911,52.0292313936234
112,SG8 7BS,-0.0207445776181305,52.0487684992363
113,SG8 5PT,-0.0213895696208817,52.0584733847589
114,PE8 6PL,-0.4201132,52.5796646
115,PE8 4JA,-0.473052383963252,52.4852349700629
116,CB5 8HB,0.1386611,52.2087054
117,CB6 1DN,0.275522419329063,52.4131134043167
118,PE2 9QB,-0.261557180162529,52.5625950325377
119,PE19 5SZ,-0.254174010281899,52.2917642100995
120,PE29 2JH,-0.173064306170024,52.3176799761863
121,PE3 6DB,-0.2585764,52.5739444
122,PE3 6DB,-0.2585764,52.5739444
123,CB4 1PX,0.135596721485953,52.2196243097776
124,CB1 3DF,0.151184469429095,52.1972087642586
125,PE27 5BB,-0.0722167722565389,52.3219725104601
126,PE27 5BB,-0.0722167722565389,52.3219725104601
127,PE29 3RJ,-0.179040286489771,52.3316721755019
128,PE1 1EH,-0.241638572026683,52.5692688416774
129,PE3 6DB,-0.2585764,52.5739444
130,PE19 8BB,-0.286856733635841,52.2225709481613
131,CB1 3LP,0.143025301661665,52.1979469745043
132,PE29 3TN,-0.181841652102276,52.3278699365106
133,PE1 3FG,-0.244734611001683,52.5874404499148
134,PE29 3TN,-0.181841652102276,52.3278699365106
135,PE19 1AG,-0.267304878737544,52.2290155806607
136,PE13 3AB,0.163913130048185,52.6649358672037
137,PE19 1AG,-0.267304878737544,52.2290155806607
138,PE13 3AB,0.163913130048185,52.6649358672037
139,CB4 1PX,0.135596721485953,52.2196243097776
140,PE15 0UG,0.0558473540495573,52.4998915348372
141,CB6 1DN,0.275522419329063,52.4131134043167
142,PE29 6NT,-0.202605135958688,52.3334172042591
143,PE1 1JL,-0.244989454277919,52.571972228921
144,PE15 0UG,0.0558473540495573,52.4998915348372
145,PE13 3UZ,0.163906530644065,52.6657002538052
146,CB4 1GL,0.152808013426987,52.2252757160478
147,PE1 1DY,-0.2423559,52.5698326
148,PE29 3TN,-0.181841652102276,52.3278699365106
149,PE1 2QP,-0.240576050006268,52.5840161388148
150,CB2 0QQ,0.139114437022424,52.1737406887487
151,PE3 6DB,-0.2585764,52.5739444
152,PE15 0UG,0.0558473540495573,52.4998915348372
153,PE29 6FN,-0.207777787153609,52.3376791276169
154,PE2 6LR,-0.319752393553737,52.5511987095042
155,PE4 6NB,-0.271941532277496,52.620809997702
156,PE15 0UG,0.0558473540495573,52.4998915348372
157,CB23 6EA,-0.077784780562845,52.2231464571081
158,PE27 4LG,-0.0637371914161099,52.3210663421371
159,PE29 6FN,-0.207777787153609,52.3376791276169
160,PE29 3TN,-0.181841652102276,52.3278699365106
161,SG8 9EN,-0.0223827066922452,52.0415271456669
162,SG8 7BS,-0.0207445776181305,52.0487684992363
163,SG5 1HF,-0.281238002967767,51.9500085249754
164,PE3 6DB,-0.2585764,52.5739444
165,CB2 1LR,0.128334255976802,52.1953012944391
166,PE1 5DU,-0.23055965644739,52.5754334031254
167,PE3 9GZ,-0.279385663960995,52.5839210910483
168,PE3 6DB,-0.2585764,52.5739444
169,PE19 5SZ,-0.254174010281899,52.2917642100995
170,PE3 9AQ,-0.297549501493029,52.5764694816656
171,CB6 1DN,0.275522419329063,52.4131134043167
172,CB22 3FB,0.161318345684286,52.1676448893261
173,CB23 6EA,-0.077784780562845,52.2231464571081
174,PE15 0UG,0.0558473540495573,52.4998915348372
175,PE2 6LR,-0.319752393553737,52.5511987095042
176,CB2 1LR,0.128334255976802,52.1953012944391
177,PE27 5JD,-0.0702216757459269,52.3242235859664
178,PE13 1BW,0.161418250133454,52.6632280898985
